NAICS,NAICS_TITLE,TELE,SKILL_INDEX,PSI,JOB_CREATION_BIRTHS
722,Food Services and Drinking Places,0.009777938891249628,0.23273882802388537,0.1198796731670393,918022.0
492,Couriers and Messengers,0.02151533325599948,0.3199772767575319,0.2637826997586727,45761.0
115,Support Activities for Agriculture and Forestry,0.023704332987465472,0.37220560988257145,0.2906203160794005,7296.0
113,Forestry and Logging,0.024381996607913056,0.40641545773803606,0.29892862054315095,1991.0
445,Food and Beverage Retailers,0.028498953303161583,0.22491775670237868,0.3494034116579656,101900.0
485,Transit and Ground Passenger Transportation,0.028745953683361195,0.1233190138845197,0.3524316904373475,18750.0
812,Personal and Laundry Services,0.03758496178164064,0.25026128554562876,0.46079986636150017,124794.0
721,Accommodation,0.03820471405551368,0.2501112228441747,0.4683981650277883,85705.0
493,Warehousing and Storage,0.040359235907504995,0.29683175892831876,0.4948130749920041,60510.0
311,Food Manufacturing,0.04251068963647944,0.2989432177493271,0.5211903690958031,33461.0
623,Nursing and Residential Care Facilities,0.04328046406481316,0.2731439023786061,0.5306279722458466,128928.0
484,Truck Transportation,0.04347952235696797,0.4068115078448274,0.5330684705216194,115806.0
212,Mining (except Oil and Gas),0.04495967276821534,0.454340919858614,0.5512154388665726,4468.0
481,Air Transportation,0.045106518392270895,0.49778706190774624,0.5530157983915789,2126.0
713,"Amusement, Gambling, and Recreation Industries",0.04538548936872665,0.2755094826421587,0.5564360436858641,82284.0
321,Wood Product Manufacturing,0.04989454423065648,0.30693515578351305,0.6117180442334577,10297.0
316,Leather and Allied Product Manufacturing,0.05192646773424087,0.2553829519474302,0.636629871584732,451.0
487,Scenic and Sightseeing Transportation,0.05201147665148136,0.3546113515615491,0.6376720995356752,1717.0
238,Specialty Trade Contractors,0.05220567755437181,0.42781234369355114,0.6400530451548061,221111.0
313,Textile Mills,0.05255190233197733,0.3626262769085819,0.644297836786591,1844.0
444,Building Material and Garden Equipment and Supplies Dealers,0.05480794561654648,0.28861776418883045,0.6719574217577013,27963.0
562,Waste Management and Remediation Services,0.0571709870754725,0.3595231143332477,0.7009288277898791,24739.0
237,Heavy and Civil Engineering Construction,0.0584042402729182,0.4186361022799928,0.7160487821980931,29987.0
327,Nonmetallic Mineral Product Manufacturing,0.05921563857979278,0.3798890288357771,0.7259967032188985,7232.0
326,Plastics and Rubber Products Manufacturing,0.06143734140916694,0.3391127978735273,0.7532352666852757,12786.0
811,Repair and Maintenance,0.061819650520781574,0.38985775536349476,0.7579224601581414,89538.0
331,Primary Metal Manufacturing,0.062029699987015574,0.4047400573585225,0.7604977126363069,3825.0
624,Social Assistance,0.06277418570640574,0.1821392648487238,0.7696252706739104,156755.0
622,Hospitals,0.06278346537486694,0.44036158932916564,0.7697390414424333,52170.0
621,Ambulatory Health Care Services,0.06392716329982896,0.35439122045177296,0.7837610285883099,416275.0
322,Paper Manufacturing,0.06450454356460432,0.35895252417526197,0.790839837139293,3958.0
337,Furniture and Related Product Manufacturing,0.07094092542822766,0.33292990075738865,0.8697512890077364,7211.0
213,Support Activities for Mining,0.07150020070946603,0.4450860168612945,0.8766081264937283,12413.0
332,Fabricated Metal Product Manufacturing,0.07325234536323089,0.34702071621482683,0.8980898038462714,44625.0
314,Textile Product Mills,0.07357470120281498,0.2946905845123574,0.9020419570681952,2379.0
441,Motor Vehicle and Parts Dealers,0.07395115410512194,0.35879200730068805,0.906657352131845,88141.0
312,Beverage and Tobacco Product Manufacturing,0.07611484468116152,0.3468673507650982,0.933184672661773,10499.0
532,Rental and Leasing Services,0.08506732910529077,0.34111359920010015,1.0429440932036687,24838.0
336,Transportation Equipment Manufacturing,0.09298349297256805,0.3169718339404445,1.139997996659251,34533.0
611,Educational Services,0.09372914859992976,0.3488330201667147,1.1491398980249141,67670.0
315,Apparel Manufacturing,0.09718006550825906,0.26986518402601234,1.1914488954218343,3546.0
236,Construction of Buildings,0.10045186879302825,0.41260077835973075,1.2315619205498582,106967.0
324,Petroleum and Coal Products Manufacturing,0.10200945341613937,0.45294420166735067,1.2506582492982068,1130.0
561,Administrative and Support Services,0.10546058753268801,0.27872262034153333,1.292969909715487,509400.0
488,Support Activities for Transportation,0.11041755766714952,0.36495834544860173,1.353743449643192,45764.0
333,Machinery Manufacturing,0.11208994979192345,0.3433281561865693,1.3742473435164138,16279.0
323,Printing and Related Support Activities,0.11553137805566668,0.3450525806102611,1.4164400080517334,10505.0
483,Water Transportation,0.11702629117881355,0.46885628604424606,1.4347679704791054,967.0
335,"Electrical Equipment, Appliance, and Component Manufacturing",0.11814309071773066,0.27957888034254796,1.4484601775185968,6612.0
486,Pipeline Transportation,0.11850810314237731,0.4767132383862535,1.4529353098195061,1056.0
339,Miscellaneous Manufacturing,0.12003939549526407,0.31682375625023096,1.4717092895742303,17833.0
325,Chemical Manufacturing,0.12427905580453986,0.43073485339298395,1.5236884538815556,27441.0
711,"Performing Arts, Spectator Sports, and Related Industries",0.15018679972605584,0.3190208729822528,1.841323070782885,37325.0
712,"Museums, Historical Sites, and Similar Institutions",0.15195129910743135,0.293705016665129,1.862956219802873,3192.0
221,Utilities,0.1567136017070071,0.4523340815285052,1.921343093100945,19294.0
424,"Merchant Wholesalers, Nondurable Goods",0.18306001564919996,0.33164974385920204,2.2443559005689986,91960.0
211,Oil and Gas Extraction,0.18841147474319675,0.4486335185966758,2.309965961573698,3367.0
531,Real Estate,0.209622113376201,0.3579964109963758,2.5700130384954245,143110.0
517,Telecommunications,0.21433828035662694,0.3847917081942489,2.6278342789943396,35474.0
423,"Merchant Wholesalers, Durable Goods",0.21578846628106385,0.3493777695927534,2.645613876165735,108587.0
334,Computer and Electronic Product Manufacturing,0.21920542735292523,0.3370495279390444,2.6875065675677865,14250.0
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",0.21932308102119344,0.3512023261865871,2.6889490273188406,64650.0
512,Motion Picture and Sound Recording Industries,0.2217801913283444,0.31865127648867525,2.7190737380408745,23091.0
519,"Web Search Portals, Libraries, Archives, and Other Information Services",0.295296413833806,0.27323398017375466,3.620398733466752,10454.0
425,Wholesale Trade Agents and Brokers,0.32894189871563356,0.33607892314235194,4.032899749891551,16907.0
551,Management of Companies and Enterprises,0.3474214191993667,0.37445625113853725,4.259462719911342,81883.0
522,Credit Intermediation and Related Activities,0.3519432230698996,0.34652541068988524,4.314901026097735,148356.0
541,"Professional, Scientific, and Technical Services",0.35526201178007305,0.37649550682765615,4.355590102835789,558616.0
533,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),0.3571733721478005,0.3565435913828149,4.3790237997259025,2201.0
518,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",0.3691780829506952,0.3157895018257113,4.526204184418604,36232.0
523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",0.37166990083894413,0.35492676370883425,4.556754417689379,66631.0
525,"Funds, Trusts, and Other Financial Vehicles",0.37575624141599223,0.33154391972798103,4.606853848487021,1146.0
521,Monetary Authorities-Central Bank,0.4038471948744545,0.36489000625731616,4.951255092655627,20.0
524,Insurance Carriers and Related Activities,0.4105267429688345,0.3490995399942831,5.033147815791215,141327.0
